CRSE_GRADE_OFF,percentile in HS class,ACTMATH,ACTCOMP,YEARS_OF_STUDY_ACT,ALG SCORE,MBSC SCORE,TRIG SCORE,self reported math GPA,placement
A,0.9,29,28,8,560,850,690,4,MATH D
C,0.28,17,18,6,440,480,300,2,MATH B
A,,26,31,0,490,500,380,4,MATH C
B,,27,29,6,580,720,600,3.8,MATH D
C,,23,25,9,570,600,550,3.7,MATH D
BC,0.86,25,24,8,530,550,500,3.8,MATH D
C,0.72,24,26,8,380,480,400,3,MATH B
B,0.63,28,29,0,730,570,700,3,MATH E
BC,0.54,23,21,8,500,500,520,3,MATH C
A,0.76,29,25,8,530,720,660,3.8,MATH D
B,0.88,28,29,7,600,720,600,3.7,MATH D
B,0.93,25,29,8,600,670,630,3.5,MATH D
C,0.7,24,23,8,530,600,570,3.3,MATH D
F,0.73,24,19,8,520,500,300,3.5,MATH C
D,0.54,26,27,8,540,600,550,2.2,MATH D
BC,0.77,29,26,6,640,720,630,4,MATH E
C,,23,25,8,470,630,520,,MATH C
A,0.81,33,29,8,600,630,660,3.8,MATH D
BC,0.76,26,26,8,580,690,670,3.8,MATH D
B,0.91,25,26,6,410,460,450,4,MATH B
B,0.86,27,24,7,560,570,450,4,MATH D
C,0.82,25,26,8,570,670,430,4,MATH D
B,,27,25,0,380,670,250,,MATH B
A,,24,25,4,700,720,440,3.5,MATH D
D,0.75,21,22,8,440,490,500,3.3,MATH B
A,0.89,33,31,8,700,850,740,3.7,MATH E
AB,,22,23,0,530,480,430,,MATH D
A,0.97,33,29,8,730,720,700,4,MATH E
BC,0.79,22,24,8,600,490,590,3.8,MATH D
D,,28,24,5,580,790,630,3.3,MATH D
AB,,28,24,5,490,520,570,4, 
B,0.77,25,23,6,560,560,460,4,MATH D
BC,0.8,23,24,5,510,540,540,3.3,MATH D
B,,25,27,8,540,600,520,3.5,MATH D
C,0.57,27,25,8,520,720,740,,MATH D
B,0.77,25,27,7,660,680,520,3.8,MATH D
C,0.58,22,26,6,470,510,490,3.2,MATH B
C,0.77,27,24,6,560,610,550,3.8,MATH D
C,0.75,27,23,7,540,600,480,4,MATH D
AB,,28,27,0,540,600,500,,MATH D
A,0.91,27,28,7,530,630,600,4,MATH D
A,0.85,27,26,8,560,720,520,4, 
A,0.66,27,25,8,520,630,480,3.8,MATH D
BC,,19,20,8,360,500,400,4, 
A,0.95,27,31,8,680,630,660,4,MATH E
BC,0.67,24,19,7,580,720,500,3.8,MATH D
B,0.32,24,24,8,500,600,430,,MATH C
B,0.65,22,22,6,470,540,430,3.3,MATH C
D,,24,27,8,440,500,500,3,MATH B
D,,23,20,0,420,430,400,2.7,MATH B
A,0.89,26,26,6,580,680,570,4,MATH D
A,0.99,23,28,6,560,560,620,4,MATH D
B,0.89,27,24,8,540,720,570,3.8,MATH D
B,0.91,33,31,5,610,800,490,4,MATH D
C,0.47,26,22,8,540,570,480,3.2,MATH D
A,0.94,29,29,8,630,720,500,4,MATH D
BC,0.82,26,26,5,560,640,480,3.7,MATH D
AB,0.79,27,28,8,, , ,4, 
A,0.92,29,29,7,700,720,600,4,MATH E
BC,0.7,20,25,8,380,240,180,3.5,MATH A
AB,0.64,24,22,6,520,530,520,3.3,MATH D
B,,25,25,8,430,490,410,3,MATH B
A,,21,23,8,430,560,500,3.2,MATH C
BC,0.81,26,27,6,470,560,480,3.5,MATH C
A,,28,26,5,730,720,650,4,MATH E
B,0.66,22,20,8,540,630,570,3.3, 
C,,19,20,6,400,440,320,3.3,MATH B
BC,,22,25,8,430,510,480,3.3,MATH B
B,,23,23,8,480,470,500,3.5,MATH C
A,0.75,25,21,8,380,480,520,3.7,MATH B
B,0.82,24,23,6,440,530,430,4, 
AB,0.85,28,25,8,580,640,600,4,MATH D
A,0.91,31,30,8,610,800,650,4,MATH E
A,0.96,27,30,8,600,610,690,4,MATH D
B,0.66,22,22,8,490,570,500,3.3,MATH C
A,0.88,26,25,6,580,630,430,4,MATH D
B,0.82,28,24,7,570,570,520,4, 
B,0.86,25,22,8,520,510,600,3.3,MATH C
A,0.99,33,33,8,810,800,690,4,MATH E
C,0.7,22,22,0,440,430,380,,MATH B
BC,0.71,23,19,8,540,550,550,3.7,MATH D
B,,26,25,6,480,560,620,3.8,MATH C
AB,0.75,25,27,7,570,610,590,4,MATH D
B,0.79,24,24,6,340,520,450,, 
A,0.77,25,25,6,440,460,480,,MATH B
AB,,27,23,4,570,610,570,4,MATH D
F,0.66,25,22,0,440,790,150,,MATH C
C,0.66,25,22,0,440,790,150,,MATH C
A,0.91,22,22,8,540,530,380,4,MATH D
B,0.73,23,25,0,510,510,440,2.8,MATH C
D,0.67,18,19,8,390,520,380,3.3,MATH B
A,0.93,25,25,7,540,720,600,4,MATH D
C,0.59,18,20,8,490,540,500,3,MATH C
AB,0.7,21,22,8,480,570,400,3.8,MATH C
BC,0.9,26,21,6,530,580,570,4,MATH D
D,0.58,26,24,7,400,510,470,3.7,MATH B
F,0.57,18,21,8,442,440,430,3.5,MATH B
B,0.82,32,27,8,700,680,740,3.6,MATH E
A,0.8,31,26,8,600,720,560,4,MATH D
B,0.9,21,25,8,510,530,520,4,MATH D
C,0.82,27,26,8,560,530,520,4,MATH D
A,0.71,28,24,8,630,670,550,,MATH D
B,0.71,28,28,8,500,670,570,4, 
C,0.65,27,27,7,440,670,660,2.6, 
BC,0.87,25,27,4,490,600,570,3.3, 
B,,25,25,8,540,610,520,3.3,MATH D
B,,28,25,8,480,570,570,3.4,MATH C
C,0.7,19,21,8,410,480,480,3.7, 
B,0.78,24,23,5,390,550,450,3,MATH B
B,0.73,28,25,8,610,720,460,3.8,MATH D
AB,0.81,27,30,8,570,630,550,3.7, 
AB,0.86,26,27,8,570,580,660,4,MATH D
C,0.83,25,22,8,, , ,3.6,MATH B
BC,0.8,26,25,8,570,640,570,4,MATH D
BC,0.85,24,26,8,640,670,700,4,MATH E
AB,0.66,21,22,6,420,410,430,3.4,MATH B
B,0.7,20,23,6,520,510,480,3.7, 
AB,0.77,23,21,6,410,330,480,4,MATH B
C,,23,26,0,490,600,430,3,MATH C
B,0.85,24,25,8,, , ,3, 
A,0.44,27,25,6,420,520,480,, 
AB,0.91,27,28,8,580,670,500,3.8,MATH D
A,0.88,26,26,8,630,670,570,4,MATH E
BC,0.72,26,24,6,610,790,520,3.8,MATH D
BC,0.85,27,25,8,510,580,460,,MATH D
C,0.91,22,19,6,490,570,360,4,MATH C
B,,25,27,0,610,570,570,3.7,MATH E
C,,28,27,5,580,570,450,4,MATH D
B,0.71,27,23,5,540,600,500,4,MATH D
BC,0.72,24,22,8,570,490,520,3.5,MATH D
AB,0.87,23,23,8,410,410,430,3.4,MATH B
B,,24,23,6,420,500,430,3.3,MATH B
AB,,22,24,6,520,630,570,, 
A,,29,28,8,780,850,840,4,MATH E
A,0.79,25,24,5,580,520,570,3.8,MATH D
BC,0.83,24,21,8,450,570,570,,MATH C
F,,21,20,8,490,630,450,2.8,MATH C
B,0.77,21,20,8,450,460,480,3.3,MATH B
AB,0.85,26,25,8,580,500,380,3.8,MATH D
C,,22,24,5,420,380,180,3.7,MATH B
F,0.57,22,20,6,450,460,450,2.8,MATH B
C,,26,26,6,540,600,430,3,MATH D
AB,0.96,26,29,8,580,720,600,4,MATH D
C,0.64,29,28,6,660,630,600,3.3,MATH E
BC,,24,24,8,490,550,520,3.3,MATH C
C,0.76,30,28,5,570,670,630,3.8,MATH D
B,0.93,23,25,8,380,500,340,4,MATH B
AB,0.8,24,25,8,440,500,550,3.4, 
D,,16,22,8,490,520,480,,MATH C
A,0.95,27,28,6,540,850,480,4,MATH D
B,,26,28,5,570,600,480,3.7, 
A,0.83,22,20,6,470,460,400,3.8,MATH B
A,0.92,30,26,8,660,640,690,4,MATH E
B,0.87,27,28,8,680,720,740,4,MATH E
B,,24,23,7,660,790,630,4,MATH E
B,0.92,23,25,8,520,600,700,3.7,MATH D
B,0.95,26,23,5,600,630,450,4,MATH D
B,0.86,23,24,6,390,380,430,3.5,MATH B
B,0.69,22,27,6,450,410,340,3.7,MATH B
A,,28,23,8,520,550,430,3.2, 
C,,24,25,6,290,330,400,3,MATH B
A,0.92,25,26,8,610,720,500,4,MATH D
C,0.76,20,20,8,440,410,400,3,MATH B
A,0.99,28,29,8,630,850,660,4,MATH E
A,0.78,24,25,5,470,570,600,4, 
D,0.82,24,23,8,380,400,360,3,MATH B
C,0.82,24,23,8,380,400,360,3,MATH B
C,,28,29,8,570,720,550,2.6,MATH D
C,0.93,23,20,8,470,360,480,3.3,MATH B
C,0.84,22,25,7,480,600,500,3.5,MATH C
BC,0.68,22,25,7,420,410,450,2,MATH B
A,0.98,27,26,7,600,600,430,3.8,MATH D
A,0.88,25,25,5,540,520,520,4,MATH D
C,0.6,27,28,8,730,850,630,3.3,MATH E
B,,24,22,6,490,520,500,2.7,MATH C
B,0.8,23,23,8,480,550,400,3.5, 
B,,26,29,6,600,520,600,,MATH D
A,,27,24,8,560,730,600,3,MATH D
AB,0.92,26,22,6,570,670,450,4,MATH D
A,,26,25,6,540,520,560,3.3,MATH D
AB,0.85,25,29,0,490,540,520,3.6,MATH C
F,0.79,22,18,6,530,520,400,3,MATH D
B,0.88,26,21,5,640,600,520,3.8,MATH D
A,,25,26,8,600,800,620,4,MATH D
B,0.84,30,27,4,730,680,660,4,MATH E
BC,0.81,25,25,6,540,630,660,3.5,MATH D
AB,,25,22,8,630,670,630,3.5,MATH E
BC,0.66,18,19,5,440,330,250,2.7,MATH A
BC,0.77,25,24,8,480,460,520,3.5, 
F,0.76,23,23,5,480,520,430,4,MATH C
B,0.76,23,23,5,480,520,430,4,MATH C
A,,26,28,8,730,720,620,4,MATH E
C,0.81,24,24,4,400,530,500,3.3,MATH B
C,,21,19,6,, , ,3.3, 
B,0.9,30,29,4,570,630,520,3,MATH D
B,0.84,26,24,6,580,570,570,,MATH D
D,0.78,24,24,6,580,790,570,3.7, 
BC,0.67,20,20,8,490,460,300,3,MATH B
AB,0.91,25,28,6,, , ,4,MATH D
AB,0.86,25,25,8,, , ,4, 
F,,19,22,6,470,380,430,4,MATH A
B,0.92,27,24,8,640,670,660,4, 
B,0.88,26,27,8,520,670,600,4,MATH D
B,0.65,23,22,6,610,500,500,4, 
C,0.78,23,22,4,540,670,500,3.6,MATH D
A,0.92,32,30,0,710,720,740,4,MATH E
BC,,26,25,6,570,500,520,3.5,MATH D
A,0.56,28,25,8,600,720,740,4,MATH D
A,0.84,28,24,8,700,800,820,4,MATH E
B,,24,25,8,540,510,480,3.3,MATH D
A,0.88,27,28,8,570,720,540,3.7,MATH D
B,0.85,29,28,0,610,680,500,,MATH D
F,,17,22,8,380,410,430,2.8, 
C,,17,22,8,380,410,430,2.8, 
AB,0.83,22,20,7,490,430,430,3.3, 
C,0.59,29,24,6,630,530,500,3.3,MATH D
A,0.69,27,25,7,630,610,560,4,MATH E
A,0.98,26,27,8,600,550,430,4, 
B,0.6,25,24,8,520,510,480,3.3,MATH C
A,0.85,29,27,8,640,680,620,4,MATH E
A,0.95,24,25,8,570,680,600,4,MATH D
A,0.97,29,26,8,680,640,460,4,MATH D
C,0.72,27,27,6,540,610,650,3.5,MATH D
B,0.84,25,28,8,610,610,480,4,MATH D
C,0.8,26,24,6,440,500,430,3.7,MATH B
B,0.86,23,23,8,600,550,520,4,MATH D
A,,27,28,0,580,630,660,,MATH D
C,0.72,27,25,8,540,720,630,4, 
A,0.96,25,26,6,440,600,570,3.3,MATH C
A,0.99,33,27,8,710,790,820,4,MATH E
AB,0.89,27,28,8,580,670,520,4,MATH D
BC,0.72,27,25,8,610,670,520,3.5, 
A,,29,28,8,530,720,500,4,MATH D
B,0.98,20,21,8,420,480,430,4,MATH B
C,0.58,25,24,0,420,550,500,3.3, 
B,0.67,24,22,6,410,500,450,3,MATH B
AB,0.76,23,22,4,380,360,450,3.7,MATH B
A,0.86,27,27,8,710,720,820,4,MATH E
A,0.98,29,27,8,630,560,620,4, 
AB,,23,25,8,480,490,490,4,MATH C
C,0.71,16,18,8,540,640,390,3.8,MATH C
A,0.99,25,23,8,520,580,420,4,MATH D
BC,,23,21,6,490,530,380,4,MATH C
AB,0.76,23,25,8,580,560,500,3.7,MATH D
C,0.65,24,24,6,570,560,550,2.7,MATH D
C,0.83,23,26,6,570,680,520,3,MATH D
BC,0.91,28,27,5,580,800,600,4,MATH D
A,0.87,26,26,8,, , ,3.3, 
A,,28,26,8,640,580,410,4, 
A,0.95,27,31,8,680,610,690,4,MATH E
BC,0.83,22,24,5,540,600,600,3.5, 
C,0.7,24,26,8,500,480,570,3.3,MATH C
B,,23,21,8,440,440,390,,MATH B
B,0.82,25,24,0,500,460,480,3.3,MATH C
AB,0.84,26,24,8,600,600,500,4,MATH D
A,,28,30,8,610,790,660,,MATH E
C,0.81,26,26,6,, , ,3.5, 
A,0.96,26,28,6,570,670,550,3.6,MATH D
A,,32,31,8,520,670,570,4,MATH D
BC,0.8,22,20,6,520,460,430,3.8,MATH C
BC,0.72,29,27,8,610,630,660,3.6,MATH E
C,0.91,29,28,5,610,720,600,4,MATH E
BC,,23,24,6,470,570,480,3.5,MATH C
BC,,18,21,8,490,510,310,3,MATH B
D,0.65,26,28,6,530,510,540,3,MATH D
AB,0.9,26,24,7,540,680,500,4,MATH D
BC,0.83,19,21,5,400,420,310,3.3, 
AB,0.95,24,27,8,580,580,850,4,MATH D
AB,0.93,28,28,8,580,640,690,4, 
B,0.9,22,22,6,490,510,460,3.8,MATH C
A,0.93,22,22,8,520,580,430,4,MATH D
B,0.92,23,20,8,540,520,550,4,MATH D
D,,21,23,5,440,500,550,3.3,MATH B
A,0.98,23,23,6,570,420,460,4,MATH D
BC,,24,23,5,510,600,460,4,MATH D
B,0.83,24,23,8,560,640,570,4,MATH D
AB,0.73,28,24,5,630,720,600,3.7,MATH E
C,0.89,28,29,8,630,600,660,4,MATH E
A,0.85,25,22,8,600,670,740,4,MATH D
D,,28,27,8,630,790,630,3.8,MATH E
A,0.74,30,29,7,610,550,570,3.6,MATH E
B,,21,23,7,150,360,300,3, 
B,0.86,31,28,7,630,790,600,4,MATH E
B,0.74,24,25,8,450,500,450,4, 
B,0.86,23,24,6,420,460,400,3.7,MATH B
C,0.7,22,22,6,250,330,480,3.7,MATH B
BC,0.95,24,23,8,520,500,380,4,MATH C
A,,30,28,8,450,720,520,4,MATH C
AB,0.8,24,23,6,530,550,550,3.8, 
A,0.75,25,22,8,600,570,520,3.7,MATH D
AB,0.74,24,22,8,490,520,400,4,MATH C
C,0.75,26,22,6,580,600,660,4,MATH D
B,0.73,24,27,7,520,520,430,3.3,MATH D
A,0.95,24,27,8,580,500,630,3.4,MATH D
C,0.83,24,25,7,410,460,430,, 
A,0.92,27,27,5,540,570,520,4, 
A,0.99,27,28,5,560,630,550,4,MATH D
C,0.69,17,20,6,450,430,430,3.3,MATH B
BC,,24,24,8,570,520,400,3.3,MATH D
C,,24,23,6,580,600,450,3.8,MATH D
A,0.93,26,24,6,560,520,660,4,MATH D
C,,24,22,0,500,460,630,,MATH C
A,,25,28,0,600,630,600,,MATH D
C,0.57,25,23,8,530,570,570,3.3,MATH D
BC,0.9,21,25,8,500,500,480,4,MATH C
B,0.81,24,23,6,570,520,520,3.5, 
BC,0.83,22,22,8,440,360,340,,MATH B
F,0.81,24,25,8,580,570,380,3.5,MATH D
AB,,24,24,6,590,570,540,3.7,MATH D
B,0.83,22,22,6,630,500,430,4,MATH D
A,0.88,28,30,8,710,720,630,4,MATH E
A,0.92,27,27,5,730,720,660,4,MATH E
B,0.91,26,27,6,490,530,500,3,MATH C
B,0.7,22,20,6,560,420,520,3.3,MATH D
BC,0.83,26,26,8,540,560,460,4,MATH D
B,0.88,28,27,7,770,720,740,4,MATH E
BC,0.78,24,24,7,430,400,480,,MATH B
A,0.95,28,29,8,700,800,570,4, 
A,0.83,28,29,6,, , ,4,MATH B
C,0.86,23,23,8,450,520,500,3.3,MATH C
A,0.99,29,28,8,710,720,570,4,MATH E
B,0.9,26,24,5,610,670,550,4,MATH D
B,0.67,24,27,8,570,720,500,4, 
BC,0.89,22,23,8,, , ,4,MATH B
C,0.79,25,24,5,610,520,480,3.6,MATH D
AB,0.9,26,22,8,490,570,570,4, 
C,0.78,24,25,7,490,520,660,3.7,MATH C
F,0.54,23,22,6,580,570,500,3,MATH D
BC,0.77,26,26,6,770,720,740,3.8,MATH E
A,,33,32,8,810,790,820,4,MATH E
A,0.95,30,30,7,, , ,4, 
BC,0.66,24,23,5,440,670,430,2.7, 
B,0.91,25,26,0,570,600,520,4,MATH D
BC,0.78,27,24,8,560,630,500,3,MATH D
A,,24,23,6,640,500,520,3.7, 
AB,0.88,22,24,8,440,480,480,4,MATH B
B,0.75,27,23,8,520,560,570,4,MATH D
B,0.81,28,23,8,540,530,480,3.2,MATH D
A,0.81,23,22,8,520,510,410,4,MATH C
A,0.94,29,25,8,640,610,480,4,MATH D
BC,0.93,26,25,6,530,720,430,3.7,MATH D
BC,0.78,21,23,8,520,520,520,3.7,MATH D
C,0.83,24,25,8,510,580,460,3,MATH D
C,0.74,21,22,6,520,520,450,4,MATH D
B,0.76,23,21,8,500,500,430,4,MATH C
B,0.82,20,23,8,360,430,340,4,MATH B
B,0.83,21,21,6,370,400,420,4,MATH B
A,0.94,29,29,8,640,850,660,4,MATH E
B,0.89,27,23,8,630,550,430,4,MATH D
A,0.99,26,30,6,610,720,620,4,MATH E
D,,23,23,4,480,510,490,3.7,MATH C
C,,23,24,8,520,520,500,3,MATH D
C,0.69,25,24,8,580,550,500,3.5,MATH D
C,,24,25,4,480,440,470,3.3,MATH C
B,0.87,24,24,8,500,550,400,3.6,MATH C
D,,26,24,0,, , ,, 
A,0.68,24,27,8,470,570,480,3,MATH C
A,,25,23,5,540,570,570,4,MATH D
AB,0.87,26,24,8,530,670,380,3.5,MATH D
B,0.78,29,27,8,660,720,560,3.8,MATH E
C,0.76,23,21,0,600,670,430,4,MATH D
BC,0.93,22,22,8,480,520,400,3.8,MATH C
D,0.71,24,24,8,480,480,450,3,MATH C
A,0.71,27,27,8,560,600,700,3.5,MATH D
B,0.71,18,19,5,440,510,500,4,MATH B
BC,0.75,24,21,8,540,550,480,4,MATH D
A,0.95,32,30,5,810,850,820,4,MATH E
A,0.89,26,25,8,580,720,820,3.6,MATH D
C,0.68,24,28,8,460,480,560,3.5,MATH B
C,,26,25,7,660,720,630,,MATH E
AB,0.92,30,26,6,710,850,550,4,MATH D
B,0.94,25,26,5,440,550,550,3.2, 
C,0.57,25,22,8,390,500,480,4,MATH B
AB,0.89,25,21,8,530,670,550,4,MATH D
D,0.71,26,25,8,580,570,600,3,MATH D
B,0.71,26,25,8,580,570,600,3,MATH D
AB,0.6,25,22,5,470,600,410,3.5, 
AB,0.69,28,26,6,500,600,630,3.5, 
C,,25,26,0,450,380,300,2.8,MATH B
B,0.89,31,29,8,640,720,520,4,MATH D
B,0.93,26,29,8,450,560,510,3.4,MATH C
AB,0.89,25,28,5,610,610,480,4,MATH D
C,0.79,23,25,6,520,480,480,3,MATH C
B,0.86,32,29,5,560,790,600,4,MATH D
B,,24,22,5,480,520,450,3.3,MATH C
B,0.7,22,20,4,520,610,560,3.5,MATH D
AB,0.92,30,28,8,850,720,660,4,MATH E
AB,0.85,24,25,0,490,500,520,4,MATH C
A,0.83,22,22,6,440,430,340,,MATH B
A,0.92,24,23,6,490,720,480,4,MATH C
B,0.81,25,25,6,660,850,630,3.8,MATH E
B,,19,21,8,390,360,400,3,MATH A
B,0.9,32,28,8,560,720,550,4,MATH D
AB,0.81,22,22,8,510,540,440,4, 
BC,,21,21,5,480,460,340,2.7,MATH C
BC,0.88,21,26,5,490,330,380,3.4,MATH B
B,0.84,25,24,5,520,630,500,4,MATH D
B,,25,24,8,490,600,600,3.3,MATH C
AB,,24,24,4,470,500,400,2.3,MATH B
C,0.78,25,27,7,600,600,700,3.6,MATH D
A,,26,28,8,630,720,550,4,MATH D
A,0.94,23,22,8,540,670,600,4,MATH D
BC,,24,23,8,, , ,4, 
BC,0.66,23,26,0,420,540,470,,MATH B
A,0.86,27,25,8,770,850,520,4, 
AB,0.68,24,26,7,630,570,570,3.3, 
A,,25,24,8,580,500,520,4,MATH D
AB,0.88,26,29,8,680,720,850,4,MATH E
BC,0.6,26,24,6,600,610,620,2.8, 
BC,0.96,26,26,7,570,640,570,4,MATH D
AB,0.89,25,27,6,700,680,570,3.7,MATH E
BC,0.79,25,27,5,570,610,480,3.3,MATH D
AB,0.84,23,24,8,530,470,460,3,MATH D
C,0.93,19,24,8,390,480,430,3.7,MATH B
D,0.82,26,23,6,520,630,550,3,MATH D
BC,0.82,26,23,6,520,630,550,3,MATH D
A,,26,26,7,640,670,600,3.8,MATH E
B,0.82,22,20,8,420,500,480,3.3,MATH B
C,0.66,24,23,6,520,550,500,3.5,MATH D
C,,20,22,7,530,600,540,3.5,MATH C
B,,21,19,6,420,520,250,3.7,MATH B
C,0.84,18,22,6,490,520,570,,MATH C
A,,27,29,6,640,630,550,4,MATH D
C,0.81,25,24,8,500,600,550,3.3,MATH C
BC,0.75,18,21,6,410,360,520,3, 
BC,0.64,22,21,5,390,430,380,3.3,MATH B
AB,0.91,24,26,8,530,640,600,4,MATH D
A,0.9,30,28,6,640,720,620,4,MATH E
AB,0.98,26,27,8,680,680,690,4,MATH E
AB,0.89,33,31,0,640,680,560,4,MATH E
B,0.81,23,22,8,580,610,500,4,MATH D
BC,0.76,26,26,6,440,530,500,2.7,MATH C
BC,0.82,28,26,6,560,800,560,4,MATH D
A,0.91,29,29,8,580,640,550,4,MATH D
B,0.92,26,24,6,560,580,430,3.5,MATH D
A,0.8,26,22,8,520,680,480,4,MATH D
B,0.8,25,23,7,440,480,500,3.7,MATH B
C,0.59,26,28,8,570,640,690,3.2,MATH D
A,0.97,27,28,8,660,800,570,4,MATH E
A,0.88,24,25,5,610,530,600,3.8,MATH E
D,0.67,21,22,6,410,440,480,3,MATH B
BC,0.72,20,20,8,540,570,480,3.8,MATH C
B,0.94,27,26,6,540,680,570,4,MATH D
A,0.88,26,21,7,540,570,570,4,MATH D
A,0.97,34,30,8,810,790,660,4,MATH E
BC,0.77,24,24,7,450,570,400,3.8,MATH C
BC,0.81,23,21,6,480,550,550,3.3,MATH C
BC,0.73,24,23,6,500,720,570,3.5,MATH C
B,0.76,20,21,8,520,570,480,3.7,MATH C
C,0.63,26,25,6,440,570,450,4,MATH C
B,0.77,28,27,8,570,670,600,, 
AB,0.87,25,23,4,560,520,550,3.7, 
B,0.84,24,22,6,440,500,430,3.7,MATH B
B,0.64,21,20,5,360,610,440,3, 
B,0.93,24,22,5,530,550,480,4,MATH D
BC,0.92,20,24,6,310,410,300,4,MATH B
A,0.93,26,25,6,630,670,630,4,MATH E
A,0.82,26,24,6,600,600,480,3.7,MATH D
A,,27,26,8,730,850,700,3.8,MATH E
B,0.96,19,21,8,480,490,560,4, 
D,0.67,19,21,6,470,500,340,4,MATH B
BC,0.76,26,25,7,440,460,430,,MATH B
B,0.68,25,24,0,530,600,400,3,MATH D
F,,26,25,0,560,550,600,,MATH D
C,,26,25,0,560,550,600,,MATH D
C,0.58,21,21,6,440,520,390,2.7, 
BC,0.83,25,23,8,500,720,500,3.3, 
B,0.71,34,28,7,630,720,660,3.8,MATH E
AB,,26,23,6,, , ,4,MATH E
C,0.84,23,24,8,440,600,380,4,MATH C
A,0.8,24,24,7,570,630,600,3.8,MATH D
AB,0.75,24,21,8,570,630,450,3.3,MATH D
A,0.92,25,23,8,630,600,660,4,MATH E
B,0.55,24,25,8,540,550,550,3, 
A,0.65,27,25,6,710,850,570,3.7,MATH E
B,0.88,25,24,8,610,570,550,4,MATH D
AB,,27,25,0,570,630,600,4, 
A,,27,25,0,530,570,600,, 
B,0.75,25,24,5,710,630,600,, 
B,,18,21,8,, , ,3.3, 
BC,0.58,25,24,6,480,480,480,3.3, 
BC,0.74,22,24,8,420,430,500,2.7,MATH B
A,0.93,23,26,8,520,460,550,4,MATH C
A,0.95,26,25,8,630,630,550,4,MATH D
D,0.66,25,24,8,490,600,500,3.8,MATH C
B,0.72,26,26,8,640,670,520,3.3,MATH D
D,,22,25,8,420,430,340,4,MATH B
B,,22,25,8,420,430,340,4,MATH B
C,0.68,26,27,8,580,500,550,4,MATH D
BC,0.78,18,21,6,520,410,480,3.3,MATH B
A,0.94,23,23,6,500,570,450,4,MATH C
C,0.97,25,27,8,680,500,600,4,MATH D
A,,22,23,6,440,460,520,3.8,MATH B
A,0.83,27,28,6,730,670,820,3.8,MATH E
C,0.91,25,23,7,570,550,480,4, 
AB,,35,35,8,770,850,850,3.4,MATH E
C,0.73,17,22,7,470,480,460,4, 
C,0.88,28,24,8,530,630,660,4, 
C,0.79,26,27,5,530,550,430,3.3,MATH D
BC,,25,23,6,480,480,430,3.3,MATH C
A,,27,23,0,540,630,630,4,MATH D
AB,,22,22,6,480,460,550,3,MATH C
BC,0.67,26,28,0,610,670,630,3.7,MATH E
A,0.9,27,25,6,610,630,630,4,MATH E
AB,0.88,25,24,8,710,670,740,4,MATH E
AB,0.85,23,23,6,410,430,480,4,MATH B
A,,31,29,8,770,720,740,3.8,MATH E
C,0.68,21,19,5,520,520,300,4,MATH D
C,0.79,25,24,5,530,500,520,3.3,MATH D
AB,0.83,22,22,8,420,460,430,3.4, 
F,,24,23,5,440,480,400,,MATH B
AB,,24,23,5,440,480,400,,MATH B
B,0.85,27,26,8,600,670,570,3.8,MATH D
BC,,29,27,5,770,630,740,,MATH E
AB,0.9,25,25,8,480,500,430,3.3,MATH C
AB,,25,24,8,490,600,400,3.5,MATH C
B,0.92,27,28,8,630,600,600,4,MATH E
A,,23,23,6,480,410,480,3.4, 
A,0.87,27,26,8,490,720,500,3.7,MATH C
AB,,29,26,7,680,670,700,4,MATH E
B,0.76,20,22,6,480,730,480,4, 
D,0.61,25,26,8,470,630,480,2.6,MATH C
BC,0.84,23,21,8,390,410,480,4,MATH B
B,0.86,29,27,5,600,720,600,4,MATH D
BC,0.73,26,25,8,480,520,500,4,MATH C
AB,0.85,28,26,5,660,670,570,4,MATH E
D,0.76,23,23,6,520,670,570,3.3,MATH D
C,0.67,24,26,6,450,550,630,4,MATH C
A,0.99,32,29,8,850,850,820,4, 
BC,0.78,29,26,8,640,720,660,3.5,MATH E
C,,24,24,8,, , ,4, 
B,,25,23,0,410,430,430,2.8,MATH B
A,0.78,25,22,8,490,520,700,,MATH C
B,0.82,20,18,0,390,380,340,4,MATH A
C,0.73,22,24,8,470,540,450,3.3,MATH B
BC,0.65,25,24,8,630,670,660,3.3,MATH E
AB,0.81,23,22,5,630,550,600,4,MATH E
F,0.76,21,22,6,340,460,500,,MATH B
BC,0.75,26,24,6,580,670,630,3.8, 
B,,26,23,8,530,570,630,3.7,MATH D
D,0.68,24,25,5,500,520,380,3,MATH C
C,0.68,24,25,5,500,520,380,3,MATH C
AB,0.93,27,24,6,610,500,630,4,MATH D
A,0.78,26,25,0,580,600,500,4,MATH D
B,0.77,25,23,6,540,520,450,3.8,MATH D
F,0.7,25,25,6,480,500,450,4,MATH C
C,0.7,25,25,6,480,500,450,4,MATH C
AB,0.94,27,28,8,630,670,600,4,MATH E
AB,0.81,25,27,6,730,790,700,3.7,MATH E
C,0.64,24,27,8,480,790,520,4, 
B,0.83,28,25,5,490,500,520,3,MATH C
C,0.68,25,24,6,490,550,520,3.5,MATH C
B,0.91,26,23,6,600,630,570,3.8,MATH D
A,0.99,27,28,8,610,670,630,4,MATH E
B,0.79,24,23,5,440,520,400,4,MATH C
B,0.98,24,21,6,530,570,550,4,MATH D
BC,0.94,23,23,5,490,550,300,4,MATH C
B,0.66,25,25,8,410,480,450,3.6,MATH B
